org_id,org_name,lisa_presc_cluster,lisa_presc_pvalue,lisa_retail_cluster,lisa_retail_pvalue
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",Not significant,0.5645645645645646,Not significant,0.1031031031031031
15E,NHS BIRMINGHAM AND SOLIHULL,Not significant,0.6336336336336337,Not significant,0.8038038038038038
D2P2L,NHS BLACK COUNTRY,Not significant,0.8348348348348348,Not significant,0.3013013013013013
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,Low-Low,0.04504504504504504,Not significant,0.6956956956956957
15M,NHS DERBY AND DERBYSHIRE,Not significant,0.8558558558558559,Low-Low,0.013013013013013013
78H,NHS NORTHAMPTONSHIRE,Not significant,0.05805805805805806,Not significant,0.36936936936936937
01Y,NHS TAMESIDE AND GLOSSOP,High-High,0.018018018018018018,High-High,0.04504504504504504
70F,NHS WEST SUSSEX,Not significant,0.918918918918919,Not significant,0.06506506506506507
D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",Not significant,0.14214214214214213,Not significant,0.25725725725725723
92A,NHS SURREY HEARTLANDS,Not significant,0.6426426426426426,High-High,0.0
U2G6B,NHS THAMES VALLEY ICB - U2G6B,Not significant,0.7007007007007007,Not significant,0.06806806806806807
