node_id,node_label,equity_concern,component,org_id,org_name,prescribing_rate_recent,retail_accessibility_score,imd_score_weighted,months_zero,trend_slope
4,Widespread low provision (deprived),High,main,A3A8R,NHS NORTH EAST LONDON,4.09,0.269,26.334,0,0.027
4,Widespread low provision (deprived),High,main,72Q,NHS SOUTH EAST LONDON,3.437,0.304,20.606,0,0.0024
4,Widespread low provision (deprived),High,main,05D,NHS EAST STAFFORDSHIRE,3.228,0.282,18.261,0,-0.0207
4,Widespread low provision (deprived),High,main,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",3.054,0.261,17.706,0,0.0048
4,Widespread low provision (deprived),High,main,06L,NHS IPSWICH AND EAST SUFFOLK,3.012,0.225,18.318,0,-0.0025
4,Widespread low provision (deprived),High,main,99E,NHS BASILDON AND BRENTWOOD,2.644,0.243,19.211,0,0.0027
4,Widespread low provision (deprived),High,main,15N,NHS DEVON,2.496,0.22,20.141,0,-0.0051
4,Widespread low provision (deprived),High,main,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2.297,0.229,15.327,0,-0.0095
4,Widespread low provision (deprived),High,main,06T,NHS NORTH EAST ESSEX,1.557,0.319,23.788,0,-0.0053
4,Widespread low provision (deprived),High,main,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,0.727,0.272,16.614,0,-0.0103
4,Widespread low provision (deprived),High,main,02T,NHS CALDERDALE,0.717,0.289,27.582,0,-0.377
4,Widespread low provision (deprived),High,main,11X,NHS SOMERSET,0.408,0.283,19.137,0,-0.0105
4,Widespread low provision (deprived),High,main,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",0.366,0.262,19.537,0,-0.0638
4,Widespread low provision (deprived),High,main,15M,NHS DERBY AND DERBYSHIRE,0.334,0.218,21.553,0,-0.0115
4,Widespread low provision (deprived),High,main,02G,NHS WEST LANCASHIRE,0.304,0.273,18.265,5,-0.0029
4,Widespread low provision (deprived),High,main,99G,NHS SOUTHEND,0.252,0.273,24.027,0,0.0004
4,Widespread low provision (deprived),High,main,10R,NHS PORTSMOUTH,0.245,0.277,26.378,2,-0.2632
4,Widespread low provision (deprived),High,main,X2C4Y,NHS KIRKLEES,0.179,0.18,25.805,1,-0.0017
4,Widespread low provision (deprived),High,main,15F,NHS LEEDS,0.126,0.293,24.115,0,-0.3788
4,Widespread low provision (deprived),High,main,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,0.106,0.286,17.654,1,-0.0009
4,Widespread low provision (deprived),High,main,01X,NHS ST HELENS,0.105,0.26,28.953,7,-0.0007
4,Widespread low provision (deprived),High,main,02M,NHS FYLDE AND WYRE,0.066,0.246,18.554,13,0.0002
4,Widespread low provision (deprived),High,main,11N,NHS CORNWALL AND THE ISLES OF SCILLY,0.058,0.255,22.283,6,-0.0042
4,Widespread low provision (deprived),High,main,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,0.049,0.208,22.903,0,-0.0012
4,Widespread low provision (deprived),High,main,03L,NHS ROTHERHAM,0.047,0.224,29.836,45,0.0019
4,Widespread low provision (deprived),High,main,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",0.042,0.24,20.099,26,0.0002
4,Widespread low provision (deprived),High,main,78H,NHS NORTHAMPTONSHIRE,0.025,0.257,17.483,19,-0.0042
4,Widespread low provision (deprived),High,main,03R,NHS WAKEFIELD,0.007,0.307,27.247,28,-0.0037
5,Widespread low provision (less deprived),Medium,main,U2G6B,NHS THAMES VALLEY ICB - U2G6B,11.642,0.301,14.315,0,0.0009
5,Widespread low provision (less deprived),Medium,main,07H,NHS WEST ESSEX,10.765,0.324,15.128,0,-0.0522
5,Widespread low provision (less deprived),Medium,main,42D,NHS NORTH YORKSHIRE,7.713,0.238,16.803,0,0.0199
