measure,org_type,org_id,org_name,date,numerator,denominator,calc_value,percentile
glutenfree,ccg,04Y,NHS CANNOCK CHASE,2021-07-01,349.52272000000005,135.72000000000003,2.5753221338048924,32.075471698113205
glutenfree,ccg,01K,NHS MORECAMBE BAY,2021-07-01,13.21674,351.3790000000001,0.03761391545880658,8.49056603773585
glutenfree,ccg,03H,NHS NORTH EAST LINCOLNSHIRE,2021-07-01,1947.7051800000004,170.989,11.39082151483429,52.83018867924528
glutenfree,ccg,03F,NHS HULL,2021-07-01,5100.266640000001,304.14199999999994,16.7693598384965,72.64150943396226
glutenfree,ccg,05D,NHS EAST STAFFORDSHIRE,2021-07-01,638.7466000000001,147.163,4.340402139124644,42.45283018867924
glutenfree,ccg,02Y,NHS EAST RIDING OF YORKSHIRE,2021-07-01,7607.728030000001,307.347,24.75289503395186,97.16981132075472
glutenfree,ccg,04V,NHS WEST LEICESTERSHIRE,2021-07-01,8632.617899999997,404.718,21.329957896609486,89.62264150943396
glutenfree,ccg,15N,NHS DEVON,2021-07-01,3475.08036,1259.5619999999997,2.7589593525368348,33.9622641509434
glutenfree,ccg,B2M3M,NHS COVENTRY AND WARWICKSHIRE,2021-07-01,20164.747740000006,1032.9159999999995,19.522156438664922,83.9622641509434
glutenfree,ccg,04C,NHS LEICESTER CITY,2021-07-01,5076.65083,422.4369999999999,12.017533573053498,55.660377358490564
glutenfree,ccg,15F,NHS LEEDS,2021-07-01,14958.659979999997,898.6599999999999,16.64551663588009,70.75471698113208
