org_id,org_name,prescribing_rate_mean,prescribing_rate_median,prescribing_rate_max,months_zero,imd_score_mean,income_score_mean,health_score_mean,education_score_mean,retail_accessibility_score,total_stores,quality_stores,regular_stores,budget_stores,n_lsoas,quadrant,imd_quintile
00L,NHS NORTHUMBERLAND,18.13503519491949,18.03183848395137,23.90887105199012,0,22.14846,0.20717,0.30192,21.42604,0.2935779816513761,109,5,22,82,200,"High prescribing
High retail",Q3
00N,NHS SOUTH TYNESIDE,17.83367889759255,18.316455176984785,22.651545074044176,0,31.29583495145631,0.3170194174757281,0.9758349514563106,23.6522427184466,0.25,40,0,10,30,103,"High prescribing
Low retail","Q5
(most
deprived)"
00P,NHS SUNDERLAND,14.422323545089531,14.428468186478709,18.55821742513957,0,32.74859459459459,0.3071729729729729,1.0520918918918918,31.574113513513517,0.3287671232876712,73,2,20,51,185,"High prescribing
High retail","Q5
(most
deprived)"
00Q,NHS BLACKBURN WITH DARWEN,0.0376983664705445,0.0,0.1888048353245514,46,36.68291208791209,0.3650879120879121,0.8011868131868132,35.83616483516484,0.28125,32,1,7,24,91,"Low prescribing
High retail","Q5
(most
deprived)"
00R,NHS BLACKPOOL,0.0051954049797855,0.0,0.3169197037669213,60,43.52754255319149,0.3776808510638298,1.5288936170212766,38.33063829787234,0.1923076923076923,52,1,8,43,94,"Low prescribing
Low retail (double disadvantage)","Q5
(most
deprived)"
00T,NHS BOLTON,20.46069711184221,20.68230767301828,24.34121227113806,0,30.26257627118644,0.3153163841807909,0.495367231638418,26.567073446327687,0.3166666666666666,60,1,17,42,177,"High prescribing
High retail","Q5
(most
deprived)"
00V,NHS BURY,5.96047964718357,6.247639338333269,8.643902195797454,0,22.99150833333333,0.2402,0.306025,19.432266666666667,0.2452830188679245,53,1,11,41,120,"Low prescribing
Low retail (double disadvantage)",Q3
00X,NHS CHORLEY AND SOUTH RIBBLE,0.0391763497197476,0.0,0.4034942008076984,49,17.439579439252338,0.1818598130841121,0.2153177570093458,15.667654205607477,0.3,60,2,14,44,107,"Low prescribing
High retail",Q2
00Y,NHS OLDHAM,19.148459520958912,19.11357109447207,23.93520692816813,0,34.67385915492958,0.3426830985915493,0.6061197183098592,33.91074647887324,0.4047619047619047,42,1,15,26,142,"High prescribing
High retail","Q5
(most
deprived)"
01A,NHS EAST LANCASHIRE,0.1267474756199396,0.0858366331693758,0.4432823804760563,3,30.560610655737705,0.2831024590163934,0.5228401639344262,27.43869262295082,0.3402061855670103,97,5,23,69,244,"Low prescribing
High retail","Q5
(most
deprived)"
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",17.094896824359665,17.24167341847195,22.458543897047218,0,33.24078518518519,0.3329851851851852,0.7533555555555556,31.083125925925923,0.2745098039215686,51,1,12,38,135,"High prescribing
Low retail","Q5
(most
deprived)"
01E,NHS GREATER PRESTON,0.0996815128071002,0.0,0.6776717194609577,36,22.89563779527559,0.2281889763779527,0.3968818897637795,20.4178031496063,0.3246753246753247,77,8,9,60,127,"Low prescribing
High retail",Q3
01F,NHS HALTON,17.265538114426338,19.310664824220325,25.2458083625486,1,32.0666625,0.3014,0.9439,30.7244375,0.2142857142857142,42,1,7,34,80,"High prescribing
Low retail","Q5
(most
deprived)"
01G,NHS SALFORD,12.280148707559238,12.252605764551635,15.124895836648436,0,31.45201863354037,0.3013291925465838,0.8173043478260871,29.86326708074534,0.3125,64,3,14,47,161,"High prescribing
High retail","Q5
(most
deprived)"
01H,NHS NORTH CUMBRIA,1.189353009073364,0.4516118591521124,7.541854706145429,1,22.87446376811594,0.1885893719806763,0.233951690821256,25.161096618357487,0.2396694214876033,121,5,19,97,207,"Low prescribing
Low retail (double disadvantage)",Q3
01J,NHS KNOWSLEY,19.0304589487848,21.88559438383032,25.655071573083124,2,36.88261,0.34726,1.2486,40.20733,0.2580645161290322,31,1,6,24,100,"High prescribing
Low retail","Q5
(most
deprived)"
01K,NHS MORECAMBE BAY,0.1062385774847304,0.0396026744153242,0.4075822894606407,17,21.03617733990148,0.1817487684729064,0.1575467980295566,19.374334975369457,0.3170731707317073,123,10,19,94,203,"Low prescribing
High retail",Q3
01T,NHS SOUTH SEFTON,22.146900287943254,24.18979277866985,28.95811412100869,0,29.68808035714286,0.2824642857142857,0.8202589285714286,28.33067857142857,0.3157894736842105,38,1,10,27,112,"High prescribing
High retail",Q4
01V,NHS SOUTHPORT AND FORMBY,23.346097663949628,25.27559416694974,30.20781728713045,3,19.02027848101266,0.1923670886075949,0.3779493670886076,17.523329113924053,0.2608695652173913,46,2,8,36,79,"High prescribing
Low retail",Q2
01W,NHS STOCKPORT,17.489400431830656,17.478089769408008,20.316819034437543,0,17.85134554973822,0.1829005235602094,0.1135340314136125,15.96705235602094,0.2470588235294117,85,2,17,66,191,"High prescribing
Low retail",Q2
01X,NHS ST HELENS,0.143894967773895,0.1244035169356616,0.3508745017935432,7,28.82884297520661,0.2690495867768595,0.8801818181818182,27.67954545454545,0.26,50,2,9,39,121,"Low prescribing
Low retail (double disadvantage)",Q4
01Y,NHS TAMESIDE AND GLOSSOP,17.765587288212863,18.044407877889963,22.02485833293185,0,29.199415492957748,0.2884859154929577,0.6672535211267606,25.24299295774648,0.4,40,1,14,25,142,"High prescribing
High retail",Q4
02A,NHS TRAFFORD,0.1982903876813076,0.1777395936700266,0.7225041709445585,13,14.874021582733814,0.1689424460431654,-0.2847482014388489,9.207597122302158,0.4242424242424242,66,7,14,45,139,"Low prescribing
High retail","Q1
(least
deprived)"
02E,NHS WARRINGTON,13.42065284461485,14.92573481156098,20.679022402641014,1,16.713409090909092,0.1804621212121212,0.0448560606060606,15.674863636363636,0.2318840579710145,69,2,12,55,132,"High prescribing
Low retail",Q2
02G,NHS WEST LANCASHIRE,0.4745076159203662,0.5016665662676523,1.2168354473628016,5,18.701835616438355,0.1996438356164383,0.0971917808219178,21.11890410958904,0.2727272727272727,33,2,5,26,73,"Low prescribing
Low retail (double disadvantage)",Q2
02H,NHS WIGAN BOROUGH,23.260259788467675,23.428208879919264,26.300567214924527,0,25.049185,0.236815,0.59163,25.14512,0.2340425531914893,94,1,20,73,200,"High prescribing
Low retail",Q4
02M,NHS FYLDE AND WYRE,0.0839102520625472,0.0758754627327476,0.3725705090982107,13,19.51890082644628,0.1933140495867768,0.3334462809917355,17.78302479338843,0.2463768115942029,69,4,9,56,121,"Low prescribing
Low retail (double disadvantage)",Q2
02P,NHS BARNSLEY,22.277358352698148,22.2585814715124,26.76811421375101,0,30.24507432432432,0.2806013513513513,0.9828243243243244,33.450155405405404,0.2580645161290322,62,1,14,47,148,"High prescribing
Low retail",Q4
02Q,NHS BASSETLAW,21.18997767579508,21.290110229140183,27.69634041322831,0,23.06644927536232,0.2244057971014492,0.1920144927536231,30.85889855072464,0.3142857142857143,35,0,11,24,69,"High prescribing
High retail",Q3
02T,NHS CALDERDALE,10.043494506746068,14.716787209727968,20.361901021244943,0,28.02786046511628,0.2652170542635659,0.3735038759689922,22.56303100775194,0.2888888888888888,45,1,11,33,129,"High prescribing
High retail",Q4
02X,NHS DONCASTER,18.522292635901323,18.478078144042293,22.84279673042245,0,30.466663316582917,0.2927839195979899,0.5384924623115578,35.856532663316585,0.2282608695652173,92,1,19,72,199,"High prescribing
Low retail","Q5
(most
deprived)"
02Y,NHS EAST RIDING OF YORKSHIRE,26.757420132742315,26.940542690869552,31.571945752186696,0,16.567487437185928,0.1692562814070352,-0.3030201005025125,19.310582914572866,0.2371134020618556,97,1,21,75,199,"High prescribing
Low retail",Q2
03F,NHS HULL,18.096621585512835,18.036281056023885,22.681396174437506,0,37.07084523809524,0.361922619047619,0.7791071428571428,39.63009523809524,0.2111111111111111,90,1,17,72,168,"High prescribing
Low retail","Q5
(most
deprived)"
03H,NHS NORTH EAST LINCOLNSHIRE,14.519400420152987,14.736028643967751,19.0019748811008,0,30.622457943925237,0.3039719626168224,0.4119719626168224,34.36271962616823,0.2181818181818181,55,1,10,44,107,"High prescribing
Low retail","Q5
(most
deprived)"
03K,NHS NORTH LINCOLNSHIRE,23.05410278996522,23.14068173655627,29.04170761134781,0,23.24866990291262,0.2304854368932039,0.217126213592233,27.23849514563107,0.2166666666666666,60,1,11,48,103,"High prescribing
Low retail",Q4
03L,NHS ROTHERHAM,0.0455779198833826,0.0,0.6406005908881127,45,29.460582352941177,0.2910235294117647,0.7983235294117648,32.16815882352941,0.2236842105263158,76,1,15,60,170,"Low prescribing
Low retail (double disadvantage)",Q4
03N,NHS SHEFFIELD,13.556795718174143,15.448501623412202,24.56911872433835,0,27.04844023323615,0.2735102040816327,0.4989737609329446,28.190338192419823,0.2974683544303797,158,7,33,118,343,"High prescribing
High retail",Q4
03Q,NHS VALE OF YORK,24.28606010309305,24.2623447768026,30.2520330437203,0,12.67008962264151,0.1357264150943396,-0.3799905660377359,14.478367924528303,0.25,112,6,16,90,212,"High prescribing
Low retail","Q1
(least
deprived)"
03R,NHS WAKEFIELD,0.0875511576965953,0.0183070087244186,0.4458726524781146,28,27.34404651162791,0.2549162790697674,0.6394418604651162,32.50604186046512,0.3068181818181818,88,2,23,63,215,"Low prescribing
High retail",Q4
03W,NHS EAST LEICESTERSHIRE AND RUTLAND,17.345334893879986,22.10527286782192,28.11571847686572,0,11.404175,0.1374,-0.6256,12.327575,0.2886597938144329,97,5,18,74,200,"High prescribing
High retail","Q1
(least
deprived)"
04C,NHS LEICESTER CITY,9.995894313148511,12.41086120273928,16.944130017295087,0,33.93239,0.340265,0.35097,37.730035,0.1830985915492957,71,0,13,58,200,"High prescribing
Low retail","Q5
(most
deprived)"
04V,NHS WEST LEICESTERSHIRE,16.172037081077672,20.723039887197377,26.80873442399809,11,14.03031623931624,0.1564358974358974,-0.2802179487179487,16.664564102564103,0.1946902654867256,113,3,16,94,234,"High prescribing
Low retail","Q1
(least
deprived)"
04Y,NHS CANNOCK CHASE,3.1331256388791755,3.2407959493597995,5.152460036659705,0,19.026404761904764,0.2103809523809524,0.2512023809523809,26.136011904761908,0.3611111111111111,36,1,11,24,84,"Low prescribing
High retail",Q2
05D,NHS EAST STAFFORDSHIRE,3.2040299353066106,3.2918325446898,6.150881941554144,0,18.07702564102564,0.198,0.0321666666666666,22.797320512820512,0.282051282051282,39,2,7,30,78,"Low prescribing
High retail",Q2
05G,NHS NORTH STAFFORDSHIRE,3.6692270240832623,3.76797730279572,5.18878556341262,0,17.51707462686567,0.174455223880597,0.0984776119402985,19.56951492537313,0.3214285714285714,56,2,14,40,134,"Low prescribing
High retail",Q2
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2.729972265990979,2.704952114461165,4.04724106673435,0,15.7582,0.1818357142857143,-0.1482357142857142,20.425685714285716,0.2285714285714285,70,2,12,56,140,"Low prescribing
Low retail (double disadvantage)","Q1
(least
deprived)"
05V,NHS STAFFORD AND SURROUNDS,2.962512641740473,2.8293465155843736,5.757394877168779,0,14.188021505376344,0.154010752688172,-0.2223978494623656,13.961817204301076,0.1702127659574468,47,1,6,40,93,"Low prescribing
Low retail (double disadvantage)","Q1
(least
deprived)"
05W,NHS STOKE ON TRENT,4.560731959410405,4.757350253334265,6.650036107187619,0,32.34381547619048,0.3165,0.8852916666666667,35.509976190476195,0.1973684210526315,76,0,15,61,168,"Low prescribing
Low retail (double disadvantage)","Q5
(most
deprived)"
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,0.9839736361216598,0.9882533304767844,1.3609905206200252,0,16.4661119544592,0.1835806451612903,-0.4304648956356736,20.02099430740038,0.2723577235772357,246,12,43,191,527,"Low prescribing
Low retail (double disadvantage)",Q2
06K,NHS EAST AND NORTH HERTFORDSHIRE,0.7877698710639764,0.8230690081742549,1.075344850684956,0,13.897637426900586,0.1772163742690058,-0.5989590643274854,16.093236842105263,0.3941605839416058,137,10,34,93,342,"Low prescribing
High retail","Q1
(least
deprived)"
06L,NHS IPSWICH AND EAST SUFFOLK,3.1676765757754333,3.157627840771547,4.715372816340372,0,18.387879166666668,0.1809083333333333,-0.1717458333333333,23.784029166666667,0.2248062015503876,129,5,19,105,240,"Low prescribing
Low retail (double disadvantage)",Q2
06N,NHS HERTS VALLEYS,0.20159808738234,0.1979106773962124,0.5830214313743246,0,12.31456388888889,0.1662888888888888,-0.7157416666666666,12.257219444444443,0.3043478260869565,161,13,23,125,360,"Low prescribing
High retail","Q1
(least
deprived)"
06Q,NHS MID ESSEX,0.0457628610150675,0.0,0.2571102869421611,32,14.864768595041324,0.1593057851239669,-0.4520413223140496,18.19740082644628,0.2844827586206896,116,4,25,87,242,"Low prescribing
High retail","Q1
(least
deprived)"
06T,NHS NORTH EAST ESSEX,1.7163577014534026,1.697861882347222,2.572353924967322,0,23.896844660194176,0.2212427184466019,0.3102815533980582,28.58126699029126,0.3185840707964602,113,7,22,84,206,"Low prescribing
High retail",Q4
07G,NHS THURROCK,8.707104334949909,8.745457008831467,13.219162267828985,0,20.63643,0.23065,-0.11634,24.86142,0.35,40,3,8,29,100,"High prescribing
High retail",Q3
07H,NHS WEST ESSEX,11.822273035408564,11.621059019866433,15.256164355981758,0,15.292583783783783,0.1809675675675675,-0.8245999999999999,18.998416216216217,0.323943661971831,71,4,15,52,185,"High prescribing
High retail","Q1
(least
deprived)"
