org_id,org_name,prescribing_rate_mean,prescribing_rate_median,prescribing_rate_max,months_zero,imd_score_mean,income_score_mean,health_score_mean,education_score_mean,retail_accessibility_score,total_stores,quality_stores,regular_stores,budget_stores,n_lsoas
00L,NHS NORTHUMBERLAND,18.13503519491949,18.03183848395137,23.90887105199012,0,22.14846,0.20717,0.30192,21.426039999999997,0.29357798165137616,109,5,22,82,200
00N,NHS SOUTH TYNESIDE,17.83367889759255,18.316455176984785,22.651545074044176,0,31.29583495145631,0.31701941747572815,0.9758349514563106,23.6522427184466,0.25,40,0,10,30,103
00P,NHS SUNDERLAND,14.422323545089533,14.428468186478709,18.55821742513957,0,32.74859459459459,0.30717297297297297,1.0520918918918918,31.574113513513513,0.3287671232876712,73,2,20,51,185
00Q,NHS BLACKBURN WITH DARWEN,0.03769836647054455,0.0,0.1888048353245514,46,36.68291208791209,0.3650879120879121,0.8011868131868132,35.83616483516484,0.28125,32,1,7,24,91
00R,NHS BLACKPOOL,0.005195404979785595,0.0,0.3169197037669213,60,43.52754255319149,0.3776808510638298,1.5288936170212766,38.33063829787234,0.19230769230769232,52,1,8,43,94
00T,NHS BOLTON,20.46069711184221,20.68230767301828,24.34121227113806,0,30.26257627118644,0.31531638418079094,0.49536723163841806,26.567073446327687,0.31666666666666665,60,1,17,42,177
00V,NHS BURY,5.96047964718357,6.247639338333269,8.643902195797454,0,22.991508333333332,0.24020000000000002,0.306025,19.432266666666667,0.24528301886792453,53,1,11,41,120
00X,NHS CHORLEY AND SOUTH RIBBLE,0.0391763497197476,0.0,0.4034942008076984,49,17.439579439252338,0.18185981308411214,0.2153177570093458,15.667654205607477,0.3,60,2,14,44,107
00Y,NHS OLDHAM,19.148459520958912,19.11357109447207,23.93520692816813,0,34.67385915492958,0.34268309859154933,0.6061197183098592,33.91074647887324,0.40476190476190477,42,1,15,26,142
01A,NHS EAST LANCASHIRE,0.12674747561993965,0.0858366331693758,0.4432823804760563,3,30.560610655737705,0.2831024590163934,0.5228401639344262,27.43869262295082,0.3402061855670103,97,5,23,69,244
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",17.094896824359665,17.24167341847195,22.458543897047218,0,33.24078518518519,0.3329851851851852,0.7533555555555556,31.083125925925923,0.27450980392156865,51,1,12,38,135
01E,NHS GREATER PRESTON,0.09968151280710022,0.0,0.6776717194609577,36,22.89563779527559,0.22818897637795277,0.3968818897637795,20.4178031496063,0.3246753246753247,77,8,9,60,127
01F,NHS HALTON,17.265538114426338,19.310664824220325,25.2458083625486,1,32.0666625,0.3014,0.9439,30.7244375,0.21428571428571427,42,1,7,34,80
01G,NHS SALFORD,12.280148707559238,12.252605764551635,15.124895836648436,0,31.45201863354037,0.30132919254658386,0.8173043478260871,29.86326708074534,0.3125,64,3,14,47,161
01H,NHS NORTH CUMBRIA,1.189353009073364,0.4516118591521124,7.541854706145429,1,22.87446376811594,0.18858937198067632,0.23395169082125603,25.161096618357487,0.2396694214876033,121,5,19,97,207
01J,NHS KNOWSLEY,19.030458948784798,21.885594383830316,25.655071573083124,2,36.88261,0.34726,1.2486,40.20733,0.25806451612903225,31,1,6,24,100
01K,NHS MORECAMBE BAY,0.10623857748473041,0.0396026744153242,0.4075822894606407,17,21.036177339901478,0.1817487684729064,0.15754679802955665,19.374334975369457,0.3170731707317073,123,10,19,94,203
01T,NHS SOUTH SEFTON,22.146900287943254,24.18979277866985,28.95811412100869,0,29.68808035714286,0.2824642857142857,0.8202589285714286,28.33067857142857,0.3157894736842105,38,1,10,27,112
01V,NHS SOUTHPORT AND FORMBY,23.346097663949628,25.27559416694974,30.20781728713045,3,19.02027848101266,0.19236708860759494,0.3779493670886076,17.523329113924053,0.2608695652173913,46,2,8,36,79
01W,NHS STOCKPORT,17.489400431830656,17.478089769408008,20.316819034437543,0,17.85134554973822,0.18290052356020942,0.11353403141361255,15.967052356020941,0.24705882352941178,85,2,17,66,191
01X,NHS ST HELENS,0.143894967773895,0.1244035169356616,0.3508745017935432,7,28.828842975206612,0.26904958677685953,0.8801818181818182,27.679545454545455,0.26,50,2,9,39,121
01Y,NHS TAMESIDE AND GLOSSOP,17.765587288212863,18.044407877889963,22.02485833293185,0,29.199415492957748,0.28848591549295777,0.6672535211267606,25.24299295774648,0.4,40,1,14,25,142
02A,NHS TRAFFORD,0.19829038768130763,0.1777395936700266,0.7225041709445585,13,14.874021582733814,0.16894244604316547,-0.28474820143884894,9.207597122302158,0.42424242424242425,66,7,14,45,139
02E,NHS WARRINGTON,13.42065284461485,14.92573481156098,20.679022402641014,1,16.713409090909092,0.1804621212121212,0.04485606060606061,15.674863636363636,0.2318840579710145,69,2,12,55,132
02G,NHS WEST LANCASHIRE,0.4745076159203662,0.5016665662676523,1.2168354473628016,5,18.701835616438355,0.19964383561643836,0.09719178082191782,21.118904109589042,0.2727272727272727,33,2,5,26,73
02H,NHS WIGAN BOROUGH,23.260259788467675,23.428208879919264,26.300567214924527,0,25.049184999999998,0.236815,0.59163,25.145120000000002,0.23404255319148937,94,1,20,73,200
02M,NHS FYLDE AND WYRE,0.08391025206254726,0.0758754627327476,0.3725705090982107,13,19.51890082644628,0.19331404958677686,0.33344628099173557,17.78302479338843,0.2463768115942029,69,4,9,56,121
02P,NHS BARNSLEY,22.277358352698148,22.258581471512397,26.76811421375101,0,30.24507432432432,0.28060135135135134,0.9828243243243243,33.450155405405404,0.25806451612903225,62,1,14,47,148
